Date,Open,High,Low,Close,Adj Close,Volume,Month,Year,Percent Change,Trend,Rolling Mean,Bollinger High,Bollinger Low
2019-03-18,276.0,278.049988,267.299988,269.48999,269.48999,10281000,3,2019,0.7552207695995072,Slight Positive,274.6614249285712,293.5028728364696,255.81997702067278
2019-03-15,283.51001,283.720001,274.399994,275.429993,275.429993,14785500,3,2019,2.2041646147970217,Positive,275.20785307142836,293.62863581325706,256.78707032959966
2019-03-14,292.450012,295.390015,288.290009,289.959991,289.959991,7103400,3,2019,5.2753869837262055,Among Top Gainers,275.07570971428555,293.0034013222548,257.14801810631633
2019-03-13,283.899994,291.98999,282.700012,288.959991,288.959991,6844700,3,2019,-0.3448751658983173,Slight or No Change,275.2957087142855,293.8588631803768,256.7325542481943
2019-03-12,286.48999,288.070007,281.059998,283.359985,283.359985,7504100,3,2019,-1.937986632896871,Negative,274.87999385714267,292.3311082162747,257.42887949801064
2019-03-11,283.519989,291.2799990000001,280.5,290.920013,290.920013,7392300,3,2019,2.6679942123797096,Positive,275.6699958571427,294.99319023632273,256.34680147796263
2019-03-08,276.910004,285.589996,275.890015,284.140015,284.140015,8819600,3,2019,-2.330536813223638,Negative,276.0642829999998,295.86611849941227,256.26244750058737
2019-03-07,278.839996,284.700012,274.25,276.589996,276.589996,9442500,3,2019,-2.6571473926331746,Negative,276.18999792857124,295.9804219366294,256.3995739205131
2019-03-06,276.480011,281.51001,274.390015,276.23999,276.23999,10335500,3,2019,-0.12654326080543402,Slight or No Change,276.7949979999998,295.9853759214866,257.604620078513
2019-03-05,282.0,284.0,270.100006,276.540009,276.540009,18764700,3,2019,0.1086080983423221,Slight or No Change,277.9464262857141,294.68186387536645,261.21098869606175
2019-03-04,298.119995,299.0,282.7799990000001,285.359985,285.359985,17096800,3,2019,3.1894032374895964,Among Top Gainers,279.43428242857124,294.66796616764924,264.20059868949323
